Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Series C - Cloudflare,https://www.crunchbase.com/funding_round/cloudflare-series-c--b7b2d1b6,Cloudflare,https://www.crunchbase.com/organization/cloudflare,Series C,"$50,000,000","Dec 17, 2013",Late Stage Venture,"$1,000,000,000",Yes,5,3
Seed Round - MOVE Guides,https://www.crunchbase.com/funding_round/move-guides-seed--78b37608,MOVE Guides,https://www.crunchbase.com/organization/move-guides,Seed,"$1,800,000","Dec 4, 2013",Seed,,Yes,8,3
Series C - Shareable Ink,https://www.crunchbase.com/funding_round/shareable-ink-series-c--dc2da7f8,Shareable Ink,https://www.crunchbase.com/organization/shareable-ink,Series C,"$10,700,000","Dec 3, 2013",Late Stage Venture,,Yes,4,1
Series C - ScienceLogic,https://www.crunchbase.com/funding_round/sciencelogic-series-c--b780e563,ScienceLogic,https://www.crunchbase.com/organization/sciencelogic,Series C,"$11,000,000","Dec 1, 2013",Late Stage Venture,,Yes,2,3
Series C - Apprenda,https://www.crunchbase.com/funding_round/apprenda-series-c--5605dcf8,Apprenda,https://www.crunchbase.com/organization/apprenda,Series C,"$16,000,000","Nov 20, 2013",Late Stage Venture,,Yes,3,3
Series B - Lytro,https://www.crunchbase.com/funding_round/lytro-series-b--a8963e2a,Lytro,https://www.crunchbase.com/organization/lytro,Series B,"$40,000,000","Nov 20, 2013",Early Stage Venture,,Yes,7,3
Series E - TriVascular,https://www.crunchbase.com/funding_round/trivascular-series-e--f7a790e0,TriVascular,https://www.crunchbase.com/organization/trivascular,Series E,"$40,000,000","Nov 18, 2013",Late Stage Venture,,Yes,9,5
Series A - Envisia Therapeutics,https://www.crunchbase.com/funding_round/envisia-therapeutics-series-a--71a0377f,Envisia Therapeutics,https://www.crunchbase.com/organization/envisia-therapeutics,Series A,"$25,000,000","Nov 12, 2013",Early Stage Venture,,Yes,5,1
Series A - Terrajoule Corporation,https://www.crunchbase.com/funding_round/terrajoule-series-a--ca5a54dc,Terrajoule Corporation,https://www.crunchbase.com/organization/terrajoule,Series A,"$11,500,000","Nov 4, 2013",Early Stage Venture,,Yes,4,
Series F - SiTime,https://www.crunchbase.com/funding_round/sitime-series-f--479b7bb4,SiTime,https://www.crunchbase.com/organization/sitime,Series F,,"Nov 4, 2013",Late Stage Venture,,Yes,12,2
