Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Babyoye,https://www.crunchbase.com/organization/babyoye,"Commerce and Shopping, Health Care, Internet Services","Mumbai, Maharashtra, India","Babyoye is an e-commerce store providing pregnancy, infant-care, and mother-care products and services in India.","18,046","Child Care, E-Commerce, Internet, Mothers, Shopping",251-500,2,2,M&A,"Dec 1, 2011",,Undisclosed,,Undisclosed,"$2,500,000","$2,500,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Jun 1, 2010",,For Profit,,,2,4,,,,,http://www.babyoye.com,,,
Impermium,https://www.crunchbase.com/organization/impermium,"Information Technology, Privacy and Security","Redwood City, California, United States",Impermium is a cyber-security company using ML to protect Internet sites against account hijacking and malicious user behavior & content.,"18,437","Cyber Security, Security, Service Industry",Nov-50,3,3,M&A,"Nov 17, 2011","$8,000,000",Series A,"$8,000,000",Series A,"$10,000,000","$10,000,000",Private,,,,,Was Acquired,Active,"Jul 1, 2010",,,,,1,13,,,,,http://www.impermium.com,,,
Transera Communications,https://www.crunchbase.com/organization/transera-communications,"Data and Analytics, Internet Services, Software","Sunnyvale, California, United States",Transera offers adaptive contact center engagement software product suites to leverage big data analytics and manage customer interactions.,"18,631","Analytics, Cloud Computing, SaaS, Software",51-100,1,4,M&A,"Apr 1, 2009","$17,000,000",Series C,"$17,000,000",Series C,"$47,000,000","$47,000,000",Private,,,,,Was Acquired,Active,2004,,,,,1,4,,,,,http://www.transerainc.com,,,
SpringSource,https://www.crunchbase.com/organization/springsource,"Apps, Software","San Mateo, California, United States",SpringSource offers a Java application framework that enable companies to build highly scalable and mission-critical systems.,"18,671","Enterprise Applications, Open Source, Software",1001-5000,6,3,M&A,"Apr 15, 2009",,Series B,,Series B,"$37,339,356","$37,339,356",Private,,,,,"Made Acquisitions, Was Acquired",Active,2004,,,,,2,4,,,,,http://www.springsource.com,,,
HealthcareMagic,https://www.crunchbase.com/organization/healthcaremagic,"Health Care, Information Technology, Internet Services","Bangalore, Karnataka, India",HealthcareMagic is a website enabling people to get real-time medical advice from doctors.,"18,696","Health Care, Information Technology, Internet",51-100,4,1,M&A,"Feb 12, 2009","$2,500,000",Series A,"$2,500,000",Series A,"$2,500,000","$2,500,000",Private,,,,,Was Acquired,Active,"Feb 5, 2008",,,,,1,1,,,,,http://www.healthcaremagic.com,,,
RayV (acquired by Yahoo!),https://www.crunchbase.com/organization/rayv,"Media and Entertainment, Video","New York, New York, United States",RayV is a web platform that allows users to create video playlists and broadcast them online.,"18,834","Broadcasting, Media and Entertainment, Video",Nov-50,3,4,M&A,"May 13, 2015",,Venture - Series Unknown,,Venture - Series Unknown,"$16,030,566","$16,030,566",Private,,,,,Was Acquired,Active,2005,,,,,1,3,,,,,http://rayv.com,,,
GetJar,https://www.crunchbase.com/organization/getjar,"Hardware, Mobile, Platforms, Software","San Mateo, California, United States",Getjar is a mobile phone application store that provides personalized app recommendations.,"19,334","Android, Mobile, Wireless",Nov-50,1,3,M&A,"Feb 14, 2011","$25,000,000",Series C,"$25,000,000",Series C,"$42,000,000","$42,000,000",Private,,,,,Was Acquired,Active,2007,,For Profit,,,1,2,,,,,http://www.getjar.com/,,,
Cubeit,https://www.crunchbase.com/organization/grid-ant-technologies,,"Bangalore, Karnataka, India","The are building Cubeit, a mobile application which allows users to aggregate content from anywhere, & organize, view, & share","19,346",Innovation Management,Nov-50,3,1,M&A,"Sep 2, 2014","$3,000,000",Seed,"$3,000,000",Seed,"$3,000,000","$3,000,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,,2,,,,,http://cubeit.io,,,
Wetpaint,https://www.crunchbase.com/organization/wetpaint,"Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","New York, New York, United States",Wetpaint offers an online social publishing platform that helps digital publishers grow their customer base.,"19,410","Publishing, Social Media, Social Media Management",51-100,2,3,M&A,"May 19, 2008","$25,000,000",Series C,"$25,000,000",Series C,"$39,750,000","$39,750,000",Private,,,,,Was Acquired,Active,"Jun 1, 2005",,For Profit,,,4,4,,,,,http://www.wetpaint.com/,,,
High Gear Media,https://www.crunchbase.com/organization/high-gear-media,"Transportation, Travel and Tourism","Menlo Park, California, United States",High Gear Media is an automotive publisher that connects car-seeking audiences with content and tools that facilitate decision making.,"19,577","Automotive, Car Sharing, Travel",Nov-50,2,2,M&A,"Jun 30, 2009","$5,500,000",Series B,"$5,500,000",Series B,"$12,000,000","$12,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2007,,,,,1,3,,,,,http://www.highgearmedia.com,,,
Playfish,https://www.crunchbase.com/organization/playfish,"Apps, Gaming, Software","London, England, United Kingdom",PlayFish creates social games that users can play with others over social platforms such as Facebook and MySpace.,"19,929","Apps, Developer Tools, Gaming",51-100,3,3,M&A,"Oct 28, 2008","$17,000,000",Series B,"$17,000,000",Series B,"$21,000,000","$21,000,000",Private,,,,,Was Acquired,Active,"Oct 1, 2007",,,,,1,2,,,,,http://www.playfish.com,,,
Causata,https://www.crunchbase.com/organization/causata,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","Causata, a software company, develops and delivers software that connects and transforms customer data into portable real-time intelligence.","20,066","Artificial Intelligence, Big Data, Machine Learning, Predictive Analytics, Software",Nov-50,1,2,M&A,"Nov 1, 2011","$11,000,000",Series B,"$11,000,000",Series B,"$15,500,000","$15,500,000",Private,,,,,Was Acquired,Active,2009,,,,,1,1,,,,,http://www.causata.com,,,
Pixate,https://www.crunchbase.com/organization/pixate,"Consumer Electronics, Hardware, Mobile, Software","Palo Alto, California, United States","Pixate is a new platform for mobile interaction design. With it, you can create sophisticated interactive native prototypes without code.","20,646","Computer, Enterprise Software, Mobile",Nov-50,2,1,M&A,"Jul 2, 2013","$3,800,000",Series A,"$3,800,000",Series A,"$3,800,000","$3,800,000",Private,,,,,Was Acquired,Closed,"May 1, 2012","Oct 31, 2016",For Profit,,,1,1,,,,,http://www.pixate.com,,,
Keen Systems,https://www.crunchbase.com/organization/keen-systems,"Commerce and Shopping, Content and Publishing, Hardware, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","San Mateo, California, United States",Keen Systems is a cloud-based platform that allows companies to build and deploy an e-commerce driven web presence.,"20,798","Cloud Infrastructure, CRM, E-Commerce, Enterprise Software, Printing, SaaS",Nov-50,1,6,M&A,"Mar 21, 2016","$4,122,848",Debt Financing,"$1,625,000",Series A,"$3,350,000","$7,472,848",Private,,,,,Was Acquired,Active,2008,,For Profit,,,,5,,,,,http://www.keenprint.com,,,
Endorse,https://www.crunchbase.com/organization/endorse,"Commerce and Shopping, Mobile, Sales and Marketing","San Mateo, California, United States","Endorse enables shoppers to earn rewards for staying loyal to their favorite brands, and enables businesses to reach consumers individually.","21,756","Brand Marketing, Coupons, Loyalty Programs, Mobile, Shopping",Nov-50,1,1,M&A,"Jan 25, 2012","$4,250,000",Series A,"$4,250,000",Series A,"$4,250,000","$4,250,000",Private,,,,,Was Acquired,Active,2010,,,,,,2,,,,,http://www.endorse.com,,,
Nimbula,https://www.crunchbase.com/organization/nimbula,"Hardware, Information Technology, Internet Services, Software","Mountain View, California, United States","Nimbula delivers cloud infrastructure software enabling enterprises and service providers to build private, public or hybrid clouds.","22,677","Cloud Computing, Enterprise Software, Infrastructure, Virtualization",10001+,2,2,M&A,"Aug 23, 2010","$15,000,000",Series B,"$15,000,000",Series B,"$20,750,000","$20,750,000",Private,,,,,Was Acquired,Active,2008,,,,,1,3,,,,,http://nimbula.com,,,
Ubiquisys,https://www.crunchbase.com/organization/ubiquisys,"Hardware, Mobile","Swindon, Wiltshire, United Kingdom","Ubiquisys is a developer of multimode LTE, 3G and Wi-Fi small cells for mobile operators and consumers.","22,788","Communication Hardware, Mobile, Telecommunications",51-100,2,7,M&A,"Aug 15, 2012","$19,000,000",Venture - Series Unknown,"$19,000,000",Venture - Series Unknown,"$81,000,000","$81,000,000",Private,,,,,Was Acquired,Active,2004,,For Profit,,,2,12,,,,,http://www.ubiquisys.com,,,
Tumri,https://www.crunchbase.com/organization/tumri,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing","San Mateo, California, United States",Tumri is an advertising platform enabling advertisers to craft highly-targeted marketing messages to consumers on-the-fly.,"22,910","Advertising, Advertising Platforms, Marketing, Messaging",1-Oct,2,5,M&A,"Jun 22, 2009","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$26,000,000","$31,000,000",Private,,,,,Was Acquired,Active,2004,,,,,4,6,,,,,http://www.tumri.com,,,
lazulirose,https://www.crunchbase.com/organization/ajax-cloud9-ide,"Internet Services, Mobile, Software","San Francisco, California, United States",Cloud9 IDE is a cloud-based Integrated Development Environment that allows web and mobile developers to collaborate in remote teams.,"22,970","Cloud Computing, Enterprise Software, Mobile, Open Source, Software",Nov-50,1,3,M&A,"Sep 7, 2016","$750,000",Seed,"$750,000",Seed,"$6,300,000","$6,300,000",Private,,,,,Was Acquired,Active,2010,,For Profit,,,3,4,,,,,,,,
Lightbox,https://www.crunchbase.com/organization/lightbox,"Content and Publishing, Media and Entertainment, Mobile, Platforms, Software","London, England, United Kingdom","Lightbox develops consumer mobile apps such as Lightbox photos, an app that provides photo cloud-hosting solutions.","23,706","Android, Mobile, Photo Sharing",1-Oct,4,1,M&A,"Feb 1, 2011","$1,200,000",Seed,"$1,200,000",Seed,"$1,200,000","$1,200,000",Private,,,,,Was Acquired,Active,"Nov 1, 2010",,,,,,11,1,,,1,http://www.lightbox.com,,,
Dragonplay,https://www.crunchbase.com/organization/dragonplay,"Content and Publishing, Gaming, Media and Entertainment, Mobile, Platforms, Software","Tel Aviv, Tel Aviv, Israel",Dragonplay is a developer and a publisher of social games for smartphones and social networks.,"23,736","Android, Gaming, Publishing",51-100,1,2,M&A,"Mar 18, 2013",,Venture - Series Unknown,,Venture - Series Unknown,"$14,000,000","$14,000,000",Private,,,,,Was Acquired,Active,2011,,,,,2,3,,,,,http://www.dragonplay.com,,,
Jasper Design Automation,https://www.crunchbase.com/organization/jasper-design-automation,"Consumer Electronics, Hardware, Software","Mountain View, California, United States",Jasper Design is an electronic design automation company developing verification system that provides bug detection and debugging solutions.,"24,077","EDA, Electronics, Hardware, Software",Nov-50,1,5,M&A,"Apr 1, 2012","$2,130,000",Venture - Series Unknown,"$2,130,000",Venture - Series Unknown,"$29,730,000","$29,730,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,1999,,For Profit,,,4,7,,,,,http://www.jasper-da.com,,,
Parature,https://www.crunchbase.com/organization/parature,"Internet Services, Software","Herndon, Virginia, United States",Parature develops cloud-based customer service software that enables companies to provide on-demand customer service and online support.,"24,148","Cloud Storage, Customer Service, Internet, Software",51-100,2,3,M&A,"Jul 21, 2010","$734,350",Venture - Series Unknown,"$734,350",Venture - Series Unknown,"$30,234,350","$30,234,350",Private,,,,,Was Acquired,Active,"Jun 15, 2000",,For Profit,,,2,4,,,,,http://www.parature.com,,,
Terracotta,https://www.crunchbase.com/organization/terracota,"Apps, Data and Analytics, Software","San Francisco, California, United States",Terracotta provides in-memory data management solutions that enable companies to process big data and improve app performance at any scale.,"24,251","Apps, Big Data, Software",51-100,1,4,M&A,"Jun 26, 2009","$5,499,999",Venture - Series Unknown,"$5,499,999",Venture - Series Unknown,"$28,999,999","$28,999,999",Private,,,,,Was Acquired,Active,2003,,,,,1,5,,,,,http://www.terracotta.org,,,
RGB Networks,https://www.crunchbase.com/organization/rgb-networks,"Content and Publishing, Media and Entertainment, Transportation, Video","Sunnyvale, California, United States",RGB Networks provides network video processing solutions for multiscreen IP video delivery.,"24,486","Logistics, Video, Video Streaming",101-250,2,4,M&A,"Oct 21, 2010","$20,000,001",Venture - Series Unknown,"$20,000,001",Venture - Series Unknown,"$72,000,001","$72,000,001",Private,,,,,Was Acquired,Active,2003,,For Profit,,,2,6,,,,,http://rgbnetworks.com,,,
DataPad,https://www.crunchbase.com/organization/datapad-inc,"Data and Analytics, Design, Information Technology, Software","San Francisco, California, United States",A next-generation visual analytics platform. Prepare. Explore. Analyze. Share. Agile data workflow for the modern era.,"24,654","Analytics, Big Data, Business Intelligence, Data Visualization",1-Oct,2,1,M&A,"Jan 1, 2013","$1,700,000",Seed,"$1,700,000",Seed,"$1,700,000","$1,700,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,,9,,,,,http://www.datapad.io,,,
Mochi Media,https://www.crunchbase.com/organization/mochimedia,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing","San Francisco, California, United States",Mochi Media is a browser-based ad network that allows developers to monetize and distribute online games.,"25,075","Advertising, Internet, Media and Entertainment",Nov-50,2,4,M&A,"Jun 18, 2008","$10,000,000",Series B,"$10,000,000",Series B,"$14,000,000","$14,000,000",Private,,,,,Was Acquired,Closed,2005,Mar-14,For Profit,,,2,5,,,,,http://mochimedia.com,,,
Verivue,https://www.crunchbase.com/organization/verivue,"Content and Publishing, Hardware, Media and Entertainment, Video","Westford, Massachusetts, United States",Verivue provides digital content delivery solutions to help network operators distribute and control IP-based media traffic.,"26,812","Communications Infrastructure, Content Delivery Network, Video on Demand, Video Streaming",1-Oct,8,3,M&A,"Sep 9, 2009","$20,000,000",Series C,"$20,000,000",Series C,"$85,000,000","$85,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Nov 13, 2006",,For Profit,,,2,6,,,,,http://verivue.com,,,
Raytheon BBN Technologies,https://www.crunchbase.com/organization/bbn-technologies,"Internet Services, Professional Services","Cambridge, Massachusetts, United States",Raytheon BBN Technologies is an R&D organization that leverages its substantial intellectual property portfolio to produce solutions.,"27,082","Intellectual Property, Internet, Web Hosting",501-1000,,3,M&A,"Jan 17, 2012","$5,500,000",Venture - Series Unknown,"$5,500,000",Venture - Series Unknown,"$16,000,000","$16,000,000",Private,,,,,Was Acquired,Active,1948,,,,,1,3,1,,,1,http://www.bbn.com,,,
Eventifier,https://www.crunchbase.com/organization/eventifier,"Internet Services, Media and Entertainment, Video","Bangalore, Karnataka, India",Eventifier is a Bangalore-based startup that aggregates and creates archives of social media content from conferences.,"27,190","Content, Social Media, Video",1-Oct,3,2,M&A,"Feb 11, 2015","$2,000,000",Venture - Series Unknown,"$2,000,000",Venture - Series Unknown,"$2,500,000","$2,500,000",Private,,,,,Was Acquired,Active,2012,,,,,,2,,,,,http://eventifier.co,,,
Parastructure,https://www.crunchbase.com/organization/parastructure,"Data and Analytics, Design, Information Technology, Software","San Francisco, California, United States",Parastructure builds beautiful data analysis software powered by cutting-edge open source infrastructure.,"27,709","Analytics, Big Data, Data Visualization, Enterprise Software",1-Oct,2,1,M&A,"Mar 1, 2013","$2,500,000",Seed,"$2,500,000",Seed,"$2,500,000","$2,500,000",Private,,,,,Was Acquired,Active,"Jul 1, 2012",,For Profit,,,,5,,,,,http://www.parastructure.com,,,
ScaleXtreme,https://www.crunchbase.com/organization/scalextreme,"Hardware, Information Technology, Internet Services, Software","San Mateo, California, United States",ScaleXtreme providesåÊcloud-based server automation products foråÊdistributed data centers.,"27,751","Cloud Data Services, Data Center Automation, Enterprise Software",Nov-50,2,2,M&A,"Jun 21, 2011","$11,000,000",Series B,"$11,000,000",Series B,"$13,000,000","$13,000,000",Private,,,,,Was Acquired,Closed,"Aug 1, 2010","Aug 31, 2014",For Profit,,,2,2,,,,,http://www.scalextreme.com,,,
Schematic Labs,https://www.crunchbase.com/organization/schematic-labs,"Apps, Media and Entertainment, Mobile, Software","San Francisco, California, United States",Schematic Labs is a mobile technology company developing entertainment apps for Android and iOS devices.,"27,836","Apps, Media and Entertainment, Mobile",Nov-50,2,4,M&A,"Dec 1, 2013",,Venture - Series Unknown,,Venture - Series Unknown,"$5,675,000","$5,675,000",Private,,,,,Was Acquired,Active,2010,,,,,3,11,,,,,http://www.schematiclabs.com,,,
Autoquake,https://www.crunchbase.com/organization/autoquake,"Commerce and Shopping, Financial Services, Internet Services, Transportation","London, England, United Kingdom",Autoquake is an e-commerce company remarketing used cars on behalf of the UK corporate fleet and leasing companies direct to consumers.,"28,667","Automotive, E-Commerce, Insurance, Internet, Retail",51-100,1,6,M&A,"Mar 9, 2010","å£6,000,000",Undisclosed,"å£6,000,000",Undisclosed,"$51,634,726","$51,634,726",Private,,,,,Was Acquired,Active,"Aug 7, 2005",,,,,2,4,,,,,http://www.autoquake.com,,,
Carrier IQ,https://www.crunchbase.com/organization/carrier-iq,"Hardware, Mobile","Sunnyvale, California, United States",Carrier IQ is a mobile service intelligence platform providing diagnostic analysis of smartphone users to OEMs and wireless carriers.,"28,986","Mobile, Telecommunications, Wireless",101-250,1,4,M&A,"Jun 15, 2010","$12,000,000",Series D,"$12,000,000",Series D,"$56,000,000","$56,000,000",Private,,,,,Was Acquired,Active,2005,,,,,3,11,,,,,http://www.carrieriq.com,,,
Qlik Technologies,https://www.crunchbase.com/organization/qlik-technologies,"Data and Analytics, Design, Information Technology, Software","Radnor, Pennsylvania, United States",Qlik simplifies the way people use data by making it a natural part of how they make decisions.,"29,457","Analytics, Big Data, Business Intelligence, Data Visualization, Software, Web Development",1001-5000,,1,M&A,"Dec 6, 2004","$12,500,000",Venture - Series Unknown,"$12,500,000",Venture - Series Unknown,"$12,500,000","$12,500,000",Public,"Jul 16, 2010",,"$112,000,000","$749,575,940","Made Acquisitions, Was Acquired",Active,1993,,For Profit,,,1,3,,,,,http://qlik.com/,,,
One Jackson,https://www.crunchbase.com/organization/one-jackson,"Commerce and Shopping, Consumer Electronics, Hardware","Palo Alto, California, United States","One Jackson is an e-commerce startup that offers crowd-sourced, indie designs for children's clothing.","30,352","Crowdsourcing, E-Commerce, Wearables",1-Oct,4,1,M&A,"Aug 3, 2012","$2,000,000",Seed,"$2,000,000",Seed,"$2,000,000","$2,000,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,,7,,,,,http://onejackson.com,,,
Iospan Wireless,https://www.crunchbase.com/organization/iospan-wireless,"Hardware, Internet Services, Mobile","San Jose, California, United States",Iospan Wireless is an Internet infrastruture company.,"31,054","Communications Infrastructure, Internet, Wireless",,,1,M&A,"Jan 15, 2001","$47,000,000",Series C,"$47,000,000",Series C,"$47,000,000","$47,000,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,,5,,,,,,,,
Altor Networks,https://www.crunchbase.com/organization/altor-networks,"Hardware, Information Technology, Privacy and Security, Software","Redwood City, California, United States",Altor Networks provides security solutions for virtual data centers and clouds.,"31,120","Cloud Security, Security, Virtualization",5001-10000,1,2,M&A,"Mar 2, 2010","$10,000,000",Series B,"$10,000,000",Series B,"$16,000,000","$16,000,000",Private,,,,,Was Acquired,Active,2007,,,,,2,4,,,,,http://www.altornetworks.com,,,
Konotor,https://www.crunchbase.com/organization/konotor,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Chennai, Tamil Nadu, India",Konotor is a mobile-first user engagement platform that adds a 2-way rich messaging inbox inside your app.,"31,523","Messaging, Mobile, Mobile Apps",Nov-50,3,2,M&A,"May 26, 2014","$125,000",Seed,"$125,000",Seed,"$155,000","$155,000",Private,,,,,Was Acquired,Active,"Aug 1, 2013",,,,,,3,,,,,http://konotor.com,,,
Crunched,https://www.crunchbase.com/organization/salescrunch,Data and Analytics,"New York, New York, United States",SalesCrunch (aka Crunched) was a sales analytics platform that provided companies deep insights into their customers.,"32,569",Analytics,251-500,1,1,M&A,"Jan 12, 2011","$1,400,000",Seed,"$1,400,000",Seed,"$1,400,000","$1,400,000",Private,,,,,Was Acquired,Active,"Apr 2, 2010",,,,,,6,,,,,http://www.salescrunch.com,,,
WiChorus,https://www.crunchbase.com/organization/wichorus,Internet Services,"San Jose, California, United States",WiChorus provides smart 4G core infrastructure products to enable operators to deploy WiMAX and LTE networks.,"32,993","Infrastructure, Internet, Web Hosting",5001-10000,2,4,M&A,"Nov 4, 2008","$18,000,000",Series C,"$18,000,000",Series C,"$42,500,000","$42,500,000",Private,,,,,Was Acquired,Active,2005,,,,,2,4,,,,,http://www.wichorus.com,,,
Mu Dynamics,https://www.crunchbase.com/organization/mu-dynamics,"Apps, Internet Services, Privacy and Security, Software","Sunnyvale, California, United States",Mu Dynamics offers in-app awareness networks that enable service providers to manage network traffic for better performance and security.,"33,305","Apps, Security, Web Hosting",5001-10000,,3,M&A,"May 19, 2008","$10,000,000",Series C,"$10,000,000",Series C,"$24,000,000","$24,000,000",Private,,,,,Was Acquired,Active,2005,,,,,4,4,,,,,http://www.mudynamics.com,,,
Aptana,https://www.crunchbase.com/organization/aptana,"Internet Services, Software","San Mateo, California, United States","Aptana provides a web application development, deployment and management suite for users of Ajax, Ruby on Rails and PHP web technologies.","40,359","Cloud Computing, Enterprise Software, Software, Web Development",Nov-50,1,4,M&A,"Jul 14, 2009","$7,800,000",Venture - Series Unknown,"$7,800,000",Venture - Series Unknown,"$25,092,327","$25,092,327",Private,,,,,Was Acquired,Active,2005,,For Profit,,,2,2,,,,,http://www.aptana.com,,,
Xoopit,https://www.crunchbase.com/organization/xoopit,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","San Francisco, California, United States",Xoopit is an email organizational tool that enables users to retrieve meaningful content from their archived email.,"43,523","Email, Photo Sharing, Search Engine",1-Oct,2,2,M&A,"Apr 2, 2008","$5,000,000",Series A,"$5,000,000",Series A,"$6,500,000","$6,500,000",Private,,,,,Was Acquired,Active,2004,,,,,2,12,,,,,http://xoopit.com,,,
Resolute Networks,https://www.crunchbase.com/organization/resolute-networks,Internet Services,"Modi'in, HaMerkaz, Israel","Resolute Networks provides a comprehensive, end-to-end suite of best-in-class OEM solutions for TDM circuit-emulation-services applications.","43,564","Internet, Social Network, Web Hosting",,,4,M&A,"Feb 23, 2012","$22,000,000",Venture - Series Unknown,"$22,000,000",Venture - Series Unknown,"$42,000,000","$42,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,1999,,For Profit,,,,6,,,,,http://www.resolutenetworks.com,,,
"Centerbeam, Inc.",https://www.crunchbase.com/organization/centerbeam-inc,"Information Technology, Internet Services, Professional Services, Software","Sunnyvale, California, United States","CenterBeam, an information technology managed service provider, delivers cloud computing and hosted IT services for mid-sized businesses.","43,730","Cloud Computing, Information Technology, Outsourcing, SaaS",51-100,1,3,M&A,"Apr 1, 2013","$1,000,000",Venture - Series Unknown,"$1,000,000",Venture - Series Unknown,"$42,000,000","$42,000,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,,9,1,,1,1,http://www.centerbeam.com,,,
Ludic Labs,https://www.crunchbase.com/organization/ludic-labs,Software,"San Mateo, California, United States",Ludic Labs develops social-media software for internet and mobile devices.,"45,130",Software,1-Oct,2,1,M&A,"Feb 13, 2009","$5,000,000",Venture - Series Unknown,"$5,000,000",Venture - Series Unknown,"$5,000,000","$5,000,000",Private,,,,,Was Acquired,Active,2006,,For Profit,,,1,2,,,,,http://www.ludic-labs.com,,,
Infinera Corporation,https://www.crunchbase.com/organization/infinera,Hardware,"Sunnyvale, California, United States",Infinera Corporation provides optical networking systems based on photonic integration technology in the United States.,"45,974","Optical Communication, Service Industry, Telecommunications",1001-5000,1,7,IPO,"Feb 24, 2006","$37,000,000",Series G,"$37,000,000",Series G,"$249,300,000","$249,300,000",Public,"Jun 15, 2007",,"$182,000,000","$1,080,776,294",Made Acquisitions,Active,2000,,For Profit,,,1,15,,,,,http://www.infinera.com,,,
3LM,https://www.crunchbase.com/organization/3lm,"Mobile, Platforms, Software","San Francisco, California, United States","3LMåÊis a stealth startupåÊthat buildsåÊmobile enterprise apps for Android, enabling enterprise security on Android devices.","48,175","Android, Enterprise Software, Mobile",Nov-50,2,1,M&A,"Jul 1, 2010","$1,500,000",Seed,"$1,500,000",Seed,"$1,500,000","$1,500,000",Private,,,,,Was Acquired,Active,Jul-10,,For Profit,,,,1,,,,,http://www.3lm.com,,,
Xelerated,https://www.crunchbase.com/organization/xelerated,"Design, Hardware, Science and Engineering, Software","Santa Clara, California, United States",Xelerated is a fabless semiconductor companyåÊproving HX devices that offer wire speed performance and other related services.,"50,147","Product Design, Semiconductor, Software",5001-10000,,5,M&A,"Aug 14, 2008","$13,000,000",Series E,"$13,000,000",Series E,"$75,000,000","$75,000,000",Private,,,,,Was Acquired,Active,2000,,,,,3,6,,,,,http://www.xelerated.com,,,
Model N,https://www.crunchbase.com/organization/model-n,"Health Care, Software","Redwood Shores, California, United States",ModelåÊN is a software company focused on developing revenue management software for pharmaceutical and medical device companies.,"51,704","Medical Device, Pharmaceutical, Software",501-1000,2,2,IPO,"Jan 29, 2004","$11,000,000",Series C,"$11,000,000",Series C,"$37,000,000","$37,000,000",Public,"Mar 20, 2013",,"$104,470,000","$332,282,087",Made Acquisitions,Active,1999,,,,,1,3,,,,,http://www.modeln.com,,,
Responsys,https://www.crunchbase.com/organization/responsys,"Apps, Mobile, Sales and Marketing, Software","San Bruno, California, United States","Responsys is a cloud software and services company helping brands to manage their digital relationships across email, mobile and the web.","56,095","Marketing, Mobile Apps, Software",10001+,2,6,M&A,"Apr 2, 2003","$9,400,000",Series E,"$9,400,000",Series E,"$83,300,000","$83,300,000",Public,"Apr 21, 2011",,"$79,400,000","$529,279,896","Made Acquisitions, Was Acquired",Active,1998,,For Profit,,,2,7,,,,,http://www.responsys.com,,,
ECi Software Solutions,https://www.crunchbase.com/organization/eci-software-solutions,"Commerce and Shopping, Consumer Electronics, Hardware, Software","Fort Worth, Texas, United States","The ECi Software Solutions family of companies provides business and e-commerce solutions, offering on-premise and cloud-based","56,818","Computer, E-Commerce, Software",501-1000,,3,M&A,"Jan 2, 2002","$21,000,000",Series C,"$21,000,000",Series C,"$80,000,000","$80,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,1998,,For Profit,,,2,5,,,,,http://ecisolutions.com,,,
Support.com,https://www.crunchbase.com/organization/support-com,"Internet Services, Software","Redwood City, California, United States",Support.com is a leading provider of cloud-based software and services for technology support.,"61,902","Cloud Computing, SaaS, Software",251-500,1,2,IPO,"Jun 30, 1999","$17,000,000",Series B,"$17,000,000",Series B,"$17,000,000","$17,000,000",Public,"Jul 28, 2000",,,,Made Acquisitions,Active,1997,,For Profit,,,1,6,,,,,http://www.support.com/,,,
Kickfire Analytics,https://www.crunchbase.com/organization/kickfire-analytics,"Data and Analytics, Manufacturing, Software","Santa Clara, California, United States",Kickfire is an analytic database appliance manufacturer for the MySQL data warehouse market.,"61,941","Analytics, Database, Manufacturing",,,2,M&A,"Jul 31, 2008","$20,000,000",Series B,"$20,000,000",Series B,"$20,000,000","$20,000,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,2,5,,,,,,,,
SocialNet.com,https://www.crunchbase.com/organization/socialnet-com,"Internet Services, Media and Entertainment","Mountain View, California, United States",Online Dating by Matching People with Similar Interests,"66,094","Internet, Social Media",,3,2,M&A,"Jan 11, 2000","$17,000,000",Series B,"$17,000,000",Series B,"$22,000,000","$22,000,000",Private,,,,,Was Acquired,Active,1997,,For Profit,,,2,7,,,,,http://www.socialnet.com,,,
