Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Bonobos,https://www.crunchbase.com/organization/bonobos,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","New York, New York, United States",Bonobos is an e-commerce driven clothing brand focused on delivering great fit and excellent customer service.,"1,418","E-Commerce, Fashion, Retail, Shoes",101-250,2,7,M&A,"Jul 2, 2014","$55,000,000",Series D,"$55,000,000",Series D,"$127,649,865","$127,649,865",Private,,,,,Was Acquired,Active,"Jun 1, 2007",,,,,4,20,,,,,http://www.bonobos.com,,,
YuMe,https://www.crunchbase.com/organization/yume,"Advertising, Media and Entertainment, Mobile, Sales and Marketing, Video","Redwood City, California, United States",YuMe is a provider of digital video brand advertising solutions that drives inventory monetization and more.,"1,637","Advertising, Marketing, Mobile, Video",251-500,2,9,M&A,"May 23, 2012","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$75,816,240","$75,816,240",Public,"Aug 7, 2013",,"$46,125,000","$286,000,000","Made Acquisitions, Was Acquired",Active,2004,,For Profit,,,4,11,,,,,http://www.yume.com,,,
Avito.ru,https://www.crunchbase.com/organization/avito-ru,"Advertising, Commerce and Shopping, Internet Services, Real Estate, Sales and Marketing","Moscow, Moscow City, Russian Federation",Avito.ru is a webåÊplatform for free online classified ads in Russia.,"1,780","Advertising, Classifieds, Internet, Real Estate",501-1000,2,6,M&A,"Feb 12, 2014","$17,000,000",Venture - Series Unknown,"$17,000,000",Venture - Series Unknown,"$169,000,000","$169,000,000",Private,,,,,Was Acquired,Active,2008,,For Profit,,,3,7,,,,,http://www.avito.ru,,,
Nimble Storage,https://www.crunchbase.com/organization/nimble-storage,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Software","San Jose, California, United States","Nimble Storage is the leader in predictive cloud infrastructure which gives businesses the fastest, most reliable access to data.","1,850","Data Storage, Electronics, Enterprise Software, Flash Storage, Predictive Analytics",1001-5000,2,5,M&A,"Sep 10, 2012","$40,700,000",Series E,"$40,700,000",Series E,"$98,751,230","$98,751,230",Public,"Dec 13, 2013",,"$168,000,000","$1,475,888,400",Was Acquired,Active,2008,,,,,3,7,,,,,http://www.nimblestorage.com,,,
Yodlee,https://www.crunchbase.com/organization/yodlee,"Financial Services, Lending and Investments, Mobile, Software","Redwood City, California, United States","Yodlee is a provider of financial applications that offers solutions for banks, entrepreneurs and individuals.","1,857","Banking, Financial Services, FinTech, Mobile, Software",501-1000,3,5,M&A,"May 9, 2012","$8,309,780",Venture - Series Unknown,"$8,309,780",Venture - Series Unknown,"$141,309,780","$141,309,780",Public,"Oct 6, 2014",,"$75,000,000","$340,000,000",Was Acquired,Active,1999,,For Profit,,,3,5,,,,,http://www.yodlee.com,,,
Sunrun,https://www.crunchbase.com/organization/sunrun,"Energy, Natural Resources, Sustainability","San Francisco, California, United States",Sunrun is a United States-based provider of residential solar electricity and solar power services for homeowners.,"1,867","Clean Energy, Renewable Energy, Solar",1001-5000,3,14,IPO,"Oct 26, 2017","$303,000,000",Post-IPO Debt,"$150,000,000",Series E,"$295,000,000","$1,372,600,000",Public,"Aug 5, 2015",,"$250,600,000","$1,400,000,000",,Active,2007,,For Profit,,,8,11,,,,,https://www.sunrun.com/,,,
Luma,https://www.crunchbase.com/organization/luma-2,"Hardware, Information Technology, Internet Services, Privacy and Security","Atlanta, Georgia, United States",Luma is a surround WiFi system that brings home internet into the modern era.,"1,899","Cyber Security, Hardware, Internet, Network Security",Nov-50,2,4,M&A,"Sep 14, 2016","$7,000,000",Series A,"$7,000,000",Series A,"$22,000,000","$22,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2014,,For Profit,,,4,13,,,,,http://getluma.com,,,
Etsy,https://www.crunchbase.com/organization/etsy,"Commerce and Shopping, Sales and Marketing","Brooklyn, New York, United States",Etsy is an e-commerce site and a smartphone application for buying and selling handmade and vintage items.,"1,967","E-Commerce, Marketplace, Sales",501-1000,4,9,IPO,"May 15, 2017",,Private Equity,,Private Equity,"$97,256,127","$97,256,127",Public,"Apr 1, 2015",,"$266,700,000","$1,775,400,000",Made Acquisitions,Active,"Jun 18, 2005",,For Profit,,,3,18,,,,,https://www.etsy.com,,,
Hailo,https://www.crunchbase.com/organization/hailo,"Apps, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Software, Transportation","London, England, United Kingdom",Hailo is an easy-to-use free smartphone app that allows passengers to get a taxi or licensed car quicker.,"2,011","Apps, Automotive, Location Based Services, Mobile, Real Time, Transportation",51-100,6,4,M&A,"Jan 20, 2014","$50,000,000",Series C,"$50,000,000",Series C,"$100,600,000","$100,600,000",Private,,,,,Was Acquired,Active,2011,,For Profit,,,4,12,,,,,http://hailocab.com,,,
lynda.com,https://www.crunchbase.com/organization/lynda-com,"Education, Media and Entertainment, Software, Video","Carpinteria, California, United States","lynda.com is an online learning company that provides video tutorials to learn about software, and creative and business skills.","2,018","E-Learning, EdTech, Education, Video",501-1000,2,3,M&A,"Jan 14, 2015","$186,000,000",Series B,"$186,000,000",Series B,"$289,000,000","$289,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,1995,,For Profit,,,2,4,,,,,http://www.lynda.com,,,
