Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Venture Round - Horizon Discovery,https://www.crunchbase.com/funding_round/horizon-discovery-series-unknown--7a01524a,Horizon Discovery,https://www.crunchbase.com/organization/horizon-discovery,Venture - Series Unknown,"$9,800,000","Sep 28, 2010",,,Yes,4,
Venture Round - Canvera Digital Technologies,https://www.crunchbase.com/funding_round/canvera-digital-technologies-series-unknown--8fa79628,Canvera Digital Technologies,https://www.crunchbase.com/organization/canvera-digital-technologies,Venture - Series Unknown,"$873,000","Sep 21, 2010",,,Yes,1,
Venture Round - Power Assure,https://www.crunchbase.com/funding_round/power-assure-series-unknown--7bc11a95,Power Assure,https://www.crunchbase.com/organization/power-assure,Venture - Series Unknown,"$1,500,000","Sep 20, 2010",,,Yes,4,4
Series B - ClearCount Medical Solutions,https://www.crunchbase.com/funding_round/clearcount-medical-solutions-series-b--aae29b64,ClearCount Medical Solutions,https://www.crunchbase.com/organization/clearcount-medical-solutions,Series B,"$5,000,000","Aug 31, 2010",Early Stage Venture,,Yes,2,1
Venture Round - Intematix,https://www.crunchbase.com/funding_round/intematix-series-unknown--49787009,Intematix,https://www.crunchbase.com/organization/intematix,Venture - Series Unknown,"$4,000,000","Aug 31, 2010",,,Yes,3,3
Debt Financing - NinthDecimal,https://www.crunchbase.com/funding_round/ninthdecimal-debt-financing--ac95d6b4,NinthDecimal,https://www.crunchbase.com/organization/ninthdecimal,Debt Financing,"$2,100,000","Aug 20, 2010",,,No,3,
Venture Round - Jing-Jin Electric Technologies,https://www.crunchbase.com/funding_round/jing-jin-electric-technologies-series-unknown--e98d66ef,Jing-Jin Electric Technologies,https://www.crunchbase.com/organization/jing-jin-electric-technologies,Venture - Series Unknown,"$14,500,000","Aug 19, 2010",,,Yes,1,
Series A - Servio,https://www.crunchbase.com/funding_round/servio-series-a--fce71f9a,Servio,https://www.crunchbase.com/organization/servio,Series A,"$5,100,000","Aug 13, 2010",Early Stage Venture,,Yes,2,
Series B - CloudCrowd,https://www.crunchbase.com/funding_round/cloudcrowd-series-b--0e4d0603,CloudCrowd,https://www.crunchbase.com/organization/cloudcrowd,Series B,"$5,100,000","Aug 13, 2010",Early Stage Venture,,Yes,2,1
Series A - Pentalum Technologies,https://www.crunchbase.com/funding_round/pentalum-technologies-series-a--b2eb114c,Pentalum Technologies,https://www.crunchbase.com/organization/pentalum-technologies,Series A,"$9,000,000","Jul 25, 2010",Early Stage Venture,,Yes,3,1
