Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Number of Investors,Number of Partner Investors,Equity Only Funding
Series B - Nimbula,https://www.crunchbase.com/funding_round/nimbula-series-b--97104a34,Nimbula,https://www.crunchbase.com/organization/nimbula,Series B,"$15,000,000","Aug 23, 2010",Early Stage Venture,,2,2,Yes
Series C - Sumo Logic,https://www.crunchbase.com/funding_round/sumo-logic-series-c--12dc47b6,Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,Series C,"$30,000,000","Nov 29, 2012",Late Stage Venture,,3,4,Yes
Series C - Transitive,https://www.crunchbase.com/funding_round/transitive-series-c--aa0b6ea2,Transitive,https://www.crunchbase.com/organization/transitive,Series C,"$11,500,000","Sep 20, 2004",Late Stage Venture,,3,1,Yes
Series B - Rhapsody Networks,https://www.crunchbase.com/funding_round/rhapsody-networks-series-b--848df731,Rhapsody Networks,https://www.crunchbase.com/organization/rhapsody-networks,Series B,"$50,000,000","Sep 5, 2001",Early Stage Venture,,3,2,Yes
Series A - Comeks,https://www.crunchbase.com/funding_round/comeks-series-a--282f2c49,Comeks,https://www.crunchbase.com/organization/comeks,Series A,"$1,000,000","May 3, 2007",Early Stage Venture,,1,,Yes
Series E - Quidsi,https://www.crunchbase.com/funding_round/quidsi-series-e--8f2ae0ff,Quidsi,https://www.crunchbase.com/organization/quidsi,Series E,"$30,000,000","Oct 3, 2009",Late Stage Venture,,4,1,Yes
Series B - CARTO,https://www.crunchbase.com/funding_round/cartodb-series-b--44946b99,CARTO,https://www.crunchbase.com/organization/cartodb,Series B,"$23,000,000","Sep 10, 2015",Early Stage Venture,,4,3,Yes
Series B - Njini,https://www.crunchbase.com/funding_round/njini-series-b--8bf5409a,Njini,https://www.crunchbase.com/organization/njini,Series B,"$5,000,000","Dec 6, 2005",Early Stage Venture,,2,1,Yes
Series B - HelloBrain,https://www.crunchbase.com/funding_round/hellobrain-series-b--7eac01b8,HelloBrain,https://www.crunchbase.com/organization/hellobrain,Series B,"$30,000,000","May 16, 2000",Early Stage Venture,,5,,Yes
Series C - Booyah,https://www.crunchbase.com/funding_round/booyah-series-c--9e3ff4ed,Booyah,https://www.crunchbase.com/organization/booyah,Series C,"$20,000,000","May 17, 2010",Late Stage Venture,,3,1,Yes
Series A - Showroomprive,https://www.crunchbase.com/funding_round/showroomprive-series-a--9a946dd8,Showroomprive,https://www.crunchbase.com/organization/showroomprive,Series A,"€37,000,000","Aug 31, 2010",Early Stage Venture,,1,2,Yes
Series A - Skydio,https://www.crunchbase.com/funding_round/skydio-series-a--59b06aa9,Skydio,https://www.crunchbase.com/organization/skydio,Series A,"$25,000,000","Jan 5, 2016",Early Stage Venture,,3,,Yes
Series A - Lyst,https://www.crunchbase.com/funding_round/lyst-series-a--b9f2a019,Lyst,https://www.crunchbase.com/organization/lyst,Series A,"$5,000,000","Jul 12, 2012",Early Stage Venture,,4,2,Yes
Series B - XConnect Global Networks,https://www.crunchbase.com/funding_round/xconnect-series-b--679a79c4,XConnect Global Networks,https://www.crunchbase.com/organization/xconnect,Series B,"$10,000,000","Sep 16, 2009",Early Stage Venture,,3,2,Yes
Series A - Lango,https://www.crunchbase.com/funding_round/zlango-series-a--203baf1c,Lango,https://www.crunchbase.com/organization/zlango,Series A,"$12,000,000","Feb 12, 2007",Early Stage Venture,,2,,Yes
Series A - URX,https://www.crunchbase.com/funding_round/urx-series-a--0d6115b0,URX,https://www.crunchbase.com/organization/urx,Series A,"$12,000,000","Apr 28, 2014",Early Stage Venture,,5,3,Yes
Series A - VSCO,https://www.crunchbase.com/funding_round/visual-supply-co-vsco-series-a--be99ead4,VSCO,https://www.crunchbase.com/organization/visual-supply-co-vsco,Series A,"$40,000,000","May 6, 2014",Early Stage Venture,,2,1,Yes
Series F - Azul Systems,https://www.crunchbase.com/funding_round/azul-systems-series-f--474f106c,Azul Systems,https://www.crunchbase.com/organization/azul-systems,Series F,"$40,000,000","Sep 13, 2007",Late Stage Venture,,8,2,Yes
Series B - Sysdig,https://www.crunchbase.com/funding_round/sysdig-series-b--a8197815,Sysdig,https://www.crunchbase.com/organization/sysdig,Series B,"$15,000,000","Apr 21, 2016",Early Stage Venture,,2,,Yes
Series B - RAMP Holdings,https://www.crunchbase.com/funding_round/ramp-series-b--383e4442,RAMP Holdings,https://www.crunchbase.com/organization/ramp,Series B,"$10,000,000","Jun 12, 2007",Early Stage Venture,,3,3,Yes
Series C - CommonFloor,https://www.crunchbase.com/funding_round/commonfloor-series-c--f7b71e84,CommonFloor,https://www.crunchbase.com/organization/commonfloor,Series C,"$7,500,000","Jun 4, 2013",Late Stage Venture,,2,,Yes
Seed Round - Shuddle,https://www.crunchbase.com/funding_round/shuddle-seed--45600fe3,Shuddle,https://www.crunchbase.com/organization/shuddle,Seed,"$2,600,000","Oct 23, 2014",Seed,,3,1,Yes
Series B - CrowdStrike,https://www.crunchbase.com/funding_round/crowdstrike-series-b--af1fafb2,CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,Series B,"$30,000,000","Sep 9, 2013",Early Stage Venture,,2,1,Yes
Series B - SwiftKey,https://www.crunchbase.com/funding_round/touchtype-series-b--0fb8364f,SwiftKey,https://www.crunchbase.com/organization/touchtype,Series B,"$17,500,000","Sep 4, 2013",Early Stage Venture,,7,1,Yes
Series A - Myntra,https://www.crunchbase.com/funding_round/myntra-series-a--65f2f52f,Myntra,https://www.crunchbase.com/organization/myntra,Series A,"$5,000,000","Nov 4, 2008",Early Stage Venture,,4,3,Yes
Seed Round - Away,https://www.crunchbase.com/funding_round/away-2-seed--f69cdebd,Away,https://www.crunchbase.com/organization/away-2,Seed,"$2,500,000","Aug 17, 2015",Seed,,11,2,Yes
Series D - Coremetrics,https://www.crunchbase.com/funding_round/coremetrics-series-d--1a511d97,Coremetrics,https://www.crunchbase.com/organization/coremetrics,Series D,"$31,000,000","Mar 9, 2006",Late Stage Venture,,3,1,Yes
Series A - Portea Medical,https://www.crunchbase.com/funding_round/portea-medical-series-a--c608fef6,Portea Medical,https://www.crunchbase.com/organization/portea-medical,Series A,"$9,000,000","Dec 2, 2013",Early Stage Venture,,3,2,Yes
Series C - migme,https://www.crunchbase.com/funding_round/mig-me-series-c--c94e19e9,migme,https://www.crunchbase.com/organization/mig-me,Series C,"$8,900,000","Nov 8, 2010",Late Stage Venture,,5,2,Yes
Seed Round - Lyst,https://www.crunchbase.com/funding_round/lyst-seed--f9afb434,Lyst,https://www.crunchbase.com/organization/lyst,Seed,"£950,000","Nov 1, 2010",Seed,,2,1,Yes
Series D - Couchbase,https://www.crunchbase.com/funding_round/couchbase-series-d--7488a653,Couchbase,https://www.crunchbase.com/organization/couchbase,Series D,"$25,000,000","Aug 28, 2013",Late Stage Venture,,5,4,Yes
Series B - PeopleDoc,https://www.crunchbase.com/funding_round/peopledoc-series-b--e7911836,PeopleDoc,https://www.crunchbase.com/organization/peopledoc,Series B,"$17,500,000","May 15, 2014",Early Stage Venture,,3,1,Yes
"Series A - Trove, Inc.",https://www.crunchbase.com/funding_round/notion-ai-series-a--22eeb3b2,"Trove, Inc.",https://www.crunchbase.com/organization/notion-ai,Series A,"$9,500,000","Oct 19, 2016",Early Stage Venture,,6,1,Yes
Series C - BranchOut,https://www.crunchbase.com/funding_round/branchout-series-c--19d94975,BranchOut,https://www.crunchbase.com/organization/branchout,Series C,"$25,000,000","Apr 19, 2012",Late Stage Venture,,5,4,Yes
Series A - Aorato,https://www.crunchbase.com/funding_round/aorato-series-a--34ced610,Aorato,https://www.crunchbase.com/organization/aorato,Series A,"$10,000,000","Jan 21, 2014",Early Stage Venture,,5,3,Yes
Series A - Ninjacart,https://www.crunchbase.com/funding_round/ninjacart-series-a--e21e9659,Ninjacart,https://www.crunchbase.com/organization/ninjacart,Series A,"$3,000,000","Mar 7, 2016",Early Stage Venture,,3,,Yes
Series A - Medigo,https://www.crunchbase.com/funding_round/medigo-series-a--cf9af344,Medigo,https://www.crunchbase.com/organization/medigo,Series A,"€5,000,000","Dec 2, 2014",Early Stage Venture,,2,,Yes
Series E - Lookout,https://www.crunchbase.com/funding_round/lookout-series-e--24ae4735,Lookout,https://www.crunchbase.com/organization/lookout,Series E,"$55,000,000","Oct 10, 2013",Late Stage Venture,,9,5,Yes
Series C - P-Cube,https://www.crunchbase.com/funding_round/p-cube-series-c--c9407fb2,P-Cube,https://www.crunchbase.com/organization/p-cube,Series C,"$35,000,000","Mar 20, 2002",Late Stage Venture,,5,,Yes
Seed Round - Konotor,https://www.crunchbase.com/funding_round/konotor-seed--2043a05a,Konotor,https://www.crunchbase.com/organization/konotor,Seed,"$125,000","May 26, 2014",Seed,,2,,Yes
Series B - Job Today,https://www.crunchbase.com/funding_round/job-today-series-b--3e276d5a,Job Today,https://www.crunchbase.com/organization/job-today,Series B,"$20,000,000","Nov 10, 2016",Early Stage Venture,,6,,Yes
Series A - On Networks,https://www.crunchbase.com/funding_round/onnetworks-series-a--3e923801,On Networks,https://www.crunchbase.com/organization/onnetworks,Series A,"$4,000,000","Nov 1, 2006",Early Stage Venture,,3,1,Yes
Series C - Trifacta,https://www.crunchbase.com/funding_round/trifacta-series-c--81fe2956,Trifacta,https://www.crunchbase.com/organization/trifacta,Series C,"$35,000,000","Feb 9, 2016",Late Stage Venture,,5,5,Yes
Series B - Mitra Biotech,https://www.crunchbase.com/funding_round/mitra-biotech-series-b--22367923,Mitra Biotech,https://www.crunchbase.com/organization/mitra-biotech,Series B,"$4,911,591","Oct 24, 2013",Early Stage Venture,,2,2,Yes
Series B - Wily Technology,https://www.crunchbase.com/funding_round/wily-technology-series-b--4e6a5ccd,Wily Technology,https://www.crunchbase.com/organization/wily-technology,Series B,"$10,000,000","Nov 30, 2000",Early Stage Venture,,3,,Yes
Series C - Doctolib,https://www.crunchbase.com/funding_round/doctolib-series-c--9ee05ecc,Doctolib,https://www.crunchbase.com/organization/doctolib,Series C,"$28,000,000","Jan 26, 2017",Late Stage Venture,,6,3,Yes
Series D - Infinera Corporation,https://www.crunchbase.com/funding_round/infinera-series-d--65781562,Infinera Corporation,https://www.crunchbase.com/organization/infinera,Series D,"$60,000,000","Aug 5, 2003",Late Stage Venture,,12,2,Yes
Series C - Double Fusion,https://www.crunchbase.com/funding_round/double-fusion-series-c--a06d36bf,Double Fusion,https://www.crunchbase.com/organization/double-fusion,Series C,"$26,000,000","Dec 18, 2006",Late Stage Venture,,7,4,Yes
Series B - Baby.com.br,https://www.crunchbase.com/funding_round/baby-com-br-series-b--f62f3144,Baby.com.br,https://www.crunchbase.com/organization/baby-com-br,Series B,"$16,700,000","Mar 1, 2012",Early Stage Venture,,7,1,Yes
