Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Celladon,https://www.crunchbase.com/organization/celladon,"Biotechnology, Health Care, Science and Engineering","La Jolla, California, United States",Celladon is a biotechnology company developing molecular therapies for the treatment of heart failure.,"19,280",2000,Active,,For Profit,,,,,,,1,11-50,13,M&A,"Nov 18, 2015","$39,500,000",Post-IPO Equity,"$39,500,000",Post-IPO Equity,"$163,766,190","$172,013,496",4,16,Was Acquired,Public,"Jan 31, 2014",,"$138,000,000","$44,000,000"
OptiMedica,https://www.crunchbase.com/organization/optimedica,"Biotechnology, Health Care, Science and Engineering","Santa Clara, California, United States",OptiMedica Corporation develops performance-driven technologies for ophthalmologists in transforming their existing standards of care.,"19,701",2004,Active,,,,,,,,,1,10001+,5,M&A,"May 10, 2013","$35,000,000",Series E,"$35,000,000",Series E,"$85,035,886","$85,035,886",3,4,Was Acquired,Private,,,,
Lehigh Technologies,https://www.crunchbase.com/organization/lehigh-technologies,"Manufacturing, Science and Engineering","Tucker, Georgia, United States","Lehigh Technologies is a specialty materials company that manufactures high-performance, lower cost, sustainable micronized rubber powders.","19,985",2003,Active,,,,,,,,,1,51-100,6,M&A,"Sep 3, 2014","$8,000,000",Venture - Series Unknown,"$8,000,000",Venture - Series Unknown,"$81,500,000","$88,000,000",5,7,Was Acquired,Private,,,,
Accumetrics,https://www.crunchbase.com/organization/accumetrics,"Biotechnology, Health Care, Science and Engineering","San Diego, California, United States","Accumetrics develops VerifyNow System, a suite of assays used in assessing the platelet function.","20,368",1996,Active,,,,,,,,,1,501-1000,9,M&A,"Aug 30, 2013","$6,000,001",Private Equity,"$6,000,001",Private Equity,"$80,161,584","$110,640,483",1,16,Was Acquired,Private,,,,
Emu Messenger,https://www.crunchbase.com/organization/emu-chat,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Science and Engineering, Software","Palo Alto, California, United States",Emu Messanger is an app for Android with a built-in assistant offering information and suggestions based on the users' personal interests.,"21,282","Feb 26, 2012",Active,,,,,,,,,2,1-10,1,M&A,"Jan 28, 2013","$1,500,000",Seed,"$1,500,000",Seed,"$1,500,000","$1,500,000",,4,Was Acquired,Private,,,,
UpWind Solutions,https://www.crunchbase.com/organization/upwind-solutions,"Energy, Professional Services","San Diego, California, United States","UpWind Solutions offers third party asset management, operation and maintenance services to the North American wind energy industry.","22,839","Sep 1, 2007",Active,,,,,,,,,1,251-500,5,M&A,"Aug 3, 2012","$10,000,000",Private Equity,"$10,000,000",Private Equity,"$45,300,000","$45,300,000",1,3,"Made Acquisitions, Was Acquired",Private,,,,
RGB Networks,https://www.crunchbase.com/organization/rgb-networks,"Content and Publishing, Media and Entertainment, Transportation, Video","Sunnyvale, California, United States",RGB Networks provides network video processing solutions for multiscreen IP video delivery.,"24,154",2003,Active,,For Profit,,,,,,,2,101-250,4,M&A,"Oct 21, 2010","$20,000,001",Venture - Series Unknown,"$20,000,001",Venture - Series Unknown,"$72,000,001","$72,000,001",2,6,Was Acquired,Private,,,,
Pixtronix,https://www.crunchbase.com/organization/pixtronix,"Consumer Electronics, Hardware, Mobile, Software","Wilmington, Massachusetts, United States",Pixtronix is a technology company that develops display technologies optimized for multimedia devices.,"25,873",2005,Active,,,,,,,,,1,10001+,6,M&A,"Jun 23, 2011","$4,000,000",Debt Financing,"$19,000,000",Venture - Series Unknown,"$46,700,000","$53,700,000",3,4,Was Acquired,Private,,,,
Glori Energy,https://www.crunchbase.com/organization/glori-energy,"Energy, Natural Resources, Sustainability","Houston, Texas, United States",Glori Energy is a tech company that offers AERO System to recover barrels of oil trapped in reservoirs to increase oil production.,"26,993",2005,Closed,"Mar 24, 2017",For Profit,,,,,,,2,11-50,5,IPO,"Jan 24, 2012","$20,000,000",Series C,"$20,000,000",Series C,"$43,017,000","$43,017,000",,6,,Public,"Apr 16, 2014",,,
vLine,https://www.crunchbase.com/organization/vline,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Palo Alto, California, United States",vLine offers a WebRTC video chat platform that enables SaaS-based companies to add customized video chat to their sites.,"27,619","Dec 1, 2010",Active,,,,,,,,,2,11-50,1,M&A,"Mar 1, 2012","$1,500,000",Seed,"$1,500,000",Seed,"$1,500,000","$1,500,000",,2,Was Acquired,Private,,,,
TherOx,https://www.crunchbase.com/organization/therox,Health Care,"Irvine, California, United States",TherOx is a medical device company dedicated to elevate the standard of care for heart attack patients.,"29,459",1994,Active,,For Profit,,,,,,,,11-50,5,IPO,"Aug 10, 2015","$16,806,247",Post-IPO Equity,"$16,806,247",Post-IPO Equity,"$46,806,247","$57,075,746",1,4,,Delisted,"Sep 4, 2008",,,
Madhouse Media,https://www.crunchbase.com/organization/madhouse-media,"Advertising, Sales and Marketing","Shanghai, Shanghai, China",Madhouse is a one-stop mobile marketing service provider focused on mobile advertisements and applications.,"31,228",2004,Active,,,,,,,,,2,51-100,5,M&A,"Jan 1, 2013",,Venture - Series Unknown,,Venture - Series Unknown,"$8,800,000","$8,800,000",,5,Was Acquired,Private,,,,
WildBlue,https://www.crunchbase.com/organization/wildblue,"Hardware, Internet Services, Mobile","Englewood, Colorado, United States",WildBlue offers high-speed internet access via satellite for home or small businesses in rural America.,"31,713",1999,Active,,For Profit,,,1,1,,,3,1001-5000,6,M&A,"Sep 3, 2008","$50,000,000",Private Equity,"$50,000,000",Private Equity,"$343,000,000","$693,000,000",6,11,Was Acquired,Private,,,,
Spatial Photonics,https://www.crunchbase.com/organization/spatial-photonics,"Data and Analytics, Hardware, Software","Sunnyvale, California, United States",Spatial Photonics is a developer of microdisplays for business and consumer projection display applications.,"31,772",2004,Active,,,,,,,,,,1-10,4,M&A,"Mar 25, 2010","$6,200,000",Debt Financing,"$15,289,278",Venture - Series Unknown,"$49,289,278","$55,489,278",1,4,Was Acquired,Private,,,,
Verdiem,https://www.crunchbase.com/organization/verdiem,"Energy, Software, Sustainability","Seattle, Washington, United States","Verdiem provides enterprise-class IT energy management and efficiency solutions for PCs, Macs and Cisco energywise devices.","32,598",2001,Active,,,,,,,,,1,11-50,8,M&A,"Jan 4, 2010","$4,712,968",Venture - Series Unknown,"$4,712,968",Venture - Series Unknown,"$38,997,968","$38,997,968",1,7,Was Acquired,Private,,,,
Pelago,https://www.crunchbase.com/organization/pelago,"Commerce and Shopping, Mobile, Software","Seattle, Washington, United States","Pelago offers Whrrl v2.0, an app that enables people to capture and share moments, as they happen, in story form.","32,697","Dec 1, 2005",Active,,,,,,,,,2,11-50,3,M&A,"May 27, 2008","$15,000,000",Series B,"$15,000,000",Series B,"$22,400,000","$22,400,000",1,7,Was Acquired,Private,,,,
Ausra,https://www.crunchbase.com/organization/ausra,"Energy, Natural Resources, Sustainability","Mountain View, California, United States",Ausra develops utility scale solar technologies.,"32,912",1999,Active,,For Profit,,,,,,,4,51-100,4,M&A,"Apr 22, 2009","$25,500,000",Venture - Series Unknown,"$25,500,000",Venture - Series Unknown,"$93,300,000","$123,300,000",3,5,Was Acquired,Private,,,,
Extreme Networks,https://www.crunchbase.com/organization/extreme-networks,"Consumer Electronics, Hardware, Information Technology","San Jose, California, United States","Extreme Networks delivers the best wired/wireless networking experience for your staff, customers, and users.","33,820",1996,Active,,For Profit,,,1,1,,1,3,1001-5000,2,IPO,"May 8, 1997","$12,300,000",Series B,"$12,300,000",Series B,"$17,300,000","$17,300,000",1,4,Made Acquisitions,Public,"Apr 9, 1999",,"$813,492,670","$119,000,000"
Ocarina Networks,https://www.crunchbase.com/organization/ocarina-networks,"Hardware, Internet Services, Software","San Jose, California, United States",Ocarina provides online storage optimization solutions that enable companies to reduce their storage footprint and increase system capacity.,"34,946","Feb 1, 2007",Active,,,,,,,,,,11-50,3,M&A,"Nov 23, 2009","$3,000,000",Venture - Series Unknown,"$3,000,000",Venture - Series Unknown,"$34,300,000","$34,300,000",3,3,Was Acquired,Private,,,,
Yardbarker Network,https://www.crunchbase.com/organization/yardbarker,"Internet Services, Media and Entertainment, Sports","New York, New York, United States",Yardbarker Network is a sports blogging community.,"35,349",Mar 2006,Active,,For Profit,,,,,,,4,1-10,5,M&A,"Sep 8, 2009","$1,500,000",Venture - Series Unknown,"$1,500,000",Venture - Series Unknown,"$8,334,000","$8,334,000",2,11,Was Acquired,Private,,,,
Xcellerex,https://www.crunchbase.com/organization/xcellerex,"Biotechnology, Health Care, Manufacturing, Science and Engineering","Marlborough, Massachusetts, United States",Biomanufacturing Solutions,"36,737",2002,Active,,,,,,,,,1,51-100,5,M&A,"Jan 28, 2011","$1,956,000",Debt Financing,"$31,000,000",Series C,"$48,550,000","$50,506,000",2,2,Was Acquired,Private,,,,
Silecs,https://www.crunchbase.com/organization/sylecs,"Hardware, Manufacturing, Science and Engineering","Espoo, Southern Finland, Finland","Silecs manufactures electronic and optical materials for semiconductors, image sensors and displays.","38,057",2000,Active,,,,,,,,,1,11-50,4,M&A,"May 18, 2011","$16,000,000",Series E,"$16,000,000",Series E,"$37,570,000","$37,570,000",2,6,Was Acquired,Private,,,,
Manzuo.com,https://www.crunchbase.com/organization/manzuo-com,"Advertising, Commerce and Shopping, Sales and Marketing","Beijing, Beijing, China",Manzuo.com is a group-buying website in China providing marketing services for local life service providers and commodity suppliers.,"40,683",Jan 2010,Active,,For Profit,,,,,,,1,5001-10000,3,M&A,"Jun 1, 2011","$25,000,000",Series B,"$25,000,000",Series B,"$45,000,000","$45,000,000",1,1,Was Acquired,Private,,,,
Placemark Investments,https://www.crunchbase.com/organization/placemark,Financial Services,"Addison, Texas, United States","Placemark Investments develops, implements, and supports wealth solutions,","40,715",1999,Active,,For Profit,,,,,,,,51-100,7,M&A,"Jul 23, 2009","$8,000,000",Series B,"$8,000,000",Series B,"$52,000,000","$52,000,000",2,8,Was Acquired,Private,,,,
iZumi Bio,https://www.crunchbase.com/organization/izumi-bio,"Biotechnology, Health Care, Science and Engineering","South San Francisco, California, United States","IZumi Bio, a biotechnology company, employs cellular reprograming for the development of stem cell-based therapeutics.","41,856",2007,Active,,,,,,,,,,11-50,1,M&A,"Apr 14, 2009","$20,000,000",Series A,"$20,000,000",Series A,"$20,000,000","$20,000,000",1,2,Was Acquired,Private,,,,
GC Holdings,https://www.crunchbase.com/organization/gc-holdings,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Fremont, California, United States","GC Holdings is an, umbrella company of Gemfire Corporation.","43,437",2002,Active,,,,,1,1,1,,,1-10,5,M&A,"Aug 17, 2010","$500,000",Debt Financing,"$20,000,000",Venture - Series Unknown,"$20,000,000","$40,315,041",,1,Was Acquired,Private,,,,
AutoNavi,https://www.crunchbase.com/organization/autonavi,"Information Technology, Software, Transportation","Haidian, Beijing, China",AutoNavi is a Chinese provider of digital map content and navigation solutions.,"43,955",2001,Active,,For Profit,,,,,,,1,1001-5000,1,M&A,"Oct 1, 2006","$40,000,000",Series A,"$40,000,000",Series A,"$40,000,000","$40,000,000",,7,Was Acquired,Public,"Jul 1, 2010",,"$2,278,725,000","$107,812,500"
SpikeSource,https://www.crunchbase.com/organization/spikesource,"Information Technology, Software","Mountain View, California, United States",SpikeSource is an open source software certification company providing ISVs with resources that ensure interoperability and performance.,"44,550",2004,Active,,,,,,,,,,51-100,3,M&A,"Apr 7, 2008","$20,000,000",Series C,"$20,000,000",Series C,"$56,000,000","$56,000,000",3,6,Was Acquired,Private,,,,
VeriSign,https://www.crunchbase.com/organization/verisign-2,"Information Technology, Internet Services","Bluemont, Virginia, United States","Verisign operates the infrastructure for the .com, .net, .tv, .cc, .name, .jobs, .edu and .gov top-level domains.","46,203",1995,Active,,For Profit,,,12,14,5,9,1,1001-5000,4,IPO,"Nov 1, 1996","$29,000,000",Series C,"$29,000,000",Series C,"$39,311,110","$39,311,110",3,15,Made Acquisitions,Public,"Jan 30, 1998",,"$282,117,416","$42,000,000"
Infinera Corporation,https://www.crunchbase.com/organization/infinera,Hardware,"Sunnyvale, California, United States",Infinera Corporation provides optical networking systems based on photonic integration technology in the United States.,"50,916",2000,Active,,For Profit,,,,,,,1,1001-5000,7,IPO,"Feb 24, 2006","$37,000,000",Series G,"$37,000,000",Series G,"$249,300,000","$249,300,000",1,15,Made Acquisitions,Public,"Jun 15, 2007",,"$1,080,776,294","$182,000,000"
Leo,https://www.crunchbase.com/organization/leo-app,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Software","San Francisco, California, United States",Leo offers a disappearing messaging app and ultra-lightweight platform for one-on-one and group conversations on iOS and Android devices.,"64,557","Sep 1, 2013",Active,,For Profit,,,,,,,2,1-10,1,M&A,"Oct 1, 2013","$1,500,000",Seed,"$1,500,000",Seed,"$1,500,000","$1,500,000",,12,Was Acquired,Private,,,,
Blue Nile,https://www.crunchbase.com/organization/blue-nile,"Commerce and Shopping, Consumer Goods","Seattle, Washington, United States","Blue Nile is an online retailer selling certified diamonds, engagement rings and fine jewelry.","66,242",1999,Active,,For Profit,,,,,,,2,251-500,3,IPO,"Jul 23, 2001","$7,000,000",Series C,"$7,000,000",Series C,"$55,000,000","$55,000,000",1,6,,Public,"May 20, 2004",,"$355,495,400","$76,670,000"
ArcSight,https://www.crunchbase.com/organization/arcsight-inc,Privacy and Security,"Palo Alto, California, United States",ArcSight provides security and compliance management solutions that identify and mitigate business risk for enterprises.,"66,335",2000,Active,,For Profit,,,,,,,3,10001+,3,M&A,"Jun 30, 2006","$2,975,000",Series C,"$2,975,000",Series C,"$26,914,000","$26,914,000",,5,Was Acquired,Delisted,"Feb 14, 2008","Sep 13, 2010",,"$61,750,000"
Vertica Systems,https://www.crunchbase.com/organization/vertica-systems,"Data and Analytics, Software","Billerica, Massachusetts, United States",Vertica Systems develops data management solutions for storing databases and allowing clients to conduct real-time and ad hoc queries.,"67,698",2005,Active,,,,,,,,,2,,3,M&A,"Feb 14, 2007","$16,500,000",Series B,"$16,500,000",Series B,"$30,500,000","$30,500,000",2,4,Was Acquired,Private,,,,
RPX Corporation,https://www.crunchbase.com/organization/rpx-corporation,"Financial Services, Professional Services","San Francisco, California, United States","RPX Corporation provides patent risk, defensive buying, acquisition syndication, patent intelligence, insurance and advisory services.","70,330",2008,Active,,,,,,,,,2,51-100,2,IPO,"Jul 22, 2009",,Series B,,Series B,,,,3,Made Acquisitions,Public,"May 4, 2011",,"$1,096,000,000","$160,100,000"
XenSource,https://www.crunchbase.com/organization/xensource,"Hardware, Information Technology, Software","Palo Alto, California, United States","XenSource manages cloud, server and desktop virtual infrastructures to optimize datacenters and automate management processes.","75,622",2004,Active,,,,,,,,,4,5001-10000,3,M&A,"Oct 31, 2006","$15,000,000",Series C,"$15,000,000",Series C,"$38,000,000","$38,000,000",2,6,Was Acquired,Private,,,,
Kodiak Networks,https://www.crunchbase.com/organization/kodiak-networks,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Plano, Texas, United States",Kodiak Networks provides wireless operators with mobile solutions that promote community-based communication.,"79,313",2001,Active,,,,,,,,,2,251-500,3,M&A,"Jun 1, 2008",,Series C,,Series C,"$25,549,000","$25,549,000",2,4,Was Acquired,Private,,,,
Fortify Software,https://www.crunchbase.com/organization/fortify-software,Software,"San Mateo, California, United States",Fortify Software offers security assurance solutions that address the threats posed by security flaws in business-critical software apps.,"82,588","Oct 1, 2002",Active,,,,,,,,,1,,3,M&A,"Nov 1, 2007",,Series E,,Series E,"$19,000,000","$19,000,000",2,2,"Made Acquisitions, Was Acquired",Private,,,,
Ketera,https://www.crunchbase.com/organization/ketera,"Data and Analytics, Software","San Jose, California, United States",Ketera is a SaaS-based spend management solutions provider with a network of 900000 buyers and suppliers.,"85,445",1983,Active,,For Profit,,,,,,,1,251-500,4,M&A,"Jan 8, 2007","$14,000,000",Series E,"$14,000,000",Series E,"$47,141,000","$47,141,000",1,8,Was Acquired,Private,,,,
Upromise,https://www.crunchbase.com/organization/upromise,"Education, Financial Services, Sales and Marketing","Newton, Massachusetts, United States",Upromise is a U.S. loyalty program that provides credit for college students and family members to make it easier to pay for college. ,"90,483",2000,Active,,,,,,,,,5,501-1000,1,M&A,"Jul 13, 2000","$34,000,000",Series A,"$34,000,000",Series A,"$34,000,000","$34,000,000",1,5,Was Acquired,Private,,,,
Veraz Networks,https://www.crunchbase.com/organization/veraz-networks,"Hardware, Internet Services, Mobile","Fort Lauderdale, Florida, United States",Veraz Networks provides voice infrastructure solutions for wireline and wireless service providers.,"93,202",2003,Active,,,,,0,0,0,,2,501-1000,2,M&A,"Feb 8, 2007","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$40,000,000","$40,000,000",1,10,"Made Acquisitions, Was Acquired",Public,"Apr 5, 2007",,,
Corio,https://www.crunchbase.com/organization/corio,Software,"San Carlos, California, United States",Corio is an enterprise Application Service Provider (ASP) that deploys and manages enterprise applications from software vendors such as,"93,512",1998,Active,,,,,,,,,2,10001+,2,M&A,"Nov 9, 1999","$30,000,000",Series C,"$30,000,000",Series C,"$51,000,000","$51,000,000",2,8,"Made Acquisitions, Was Acquired",Public,"Jul 24, 2000",,,"$140,000,000"
Erly,https://www.crunchbase.com/organization/erly,"Internet Services, Media and Entertainment","Palo Alto, California, United States","Erly allows users to create a webpage for their event that brings together event information, invitations and a multimedia album.","94,717",2011,Active,,,,,,,,,1,1-10,1,M&A,"Aug 2, 2011",,Venture - Series Unknown,,Venture - Series Unknown,,,,1,Was Acquired,Private,,,,
HomeGrocer.com,https://www.crunchbase.com/organization/homegrocer-com,"Commerce and Shopping, Health Care","Lawrenceville, Georgia, United States",On-line grocery store offering high quality name brand food and non-food items delivered directly to customers’ homes.,"96,391",1997,Active,,For Profit,,,,,,,1,501-1000,1,M&A,"Nov 2, 1999","$100,000,000",Series D,"$100,000,000",Series D,"$100,000,000","$100,000,000",4,9,Was Acquired,Private,,,,
Studyplaces,https://www.crunchbase.com/organization/studyplaces,"Education, Internet Services, Software","New Delhi, Delhi, India",Studyplaces is a one-stop-shop education portal based in India.,"96,960","May 25, 2007",Active,,,,,,,,,1,101-250,1,M&A,"Jan 1, 2008","$3,000,000",Series A,"$3,000,000",Series A,"$3,000,000","$3,000,000",,3,Was Acquired,Private,,,,
Hire.com,https://www.crunchbase.com/organization/hire-com,"Professional Services, Software","Raleigh, North Carolina, United States",The online marketplace for outdoor activities.,"99,073",1997,Active,,,,,,,,,,501-1000,1,M&A,"Jan 13, 2000","$21,000,000",Venture - Series Unknown,"$21,000,000",Venture - Series Unknown,"$21,000,000","$21,000,000",1,8,Was Acquired,Private,,,,
Silicon Spice,https://www.crunchbase.com/organization/silicon-spice,"Hardware, Mobile, Software","Mountain View, California, United States","Silicon Spice, Inc. builds platform solutions that enable networking and telecom system companies to build differentiated access systems.","100,661",1997,Active,,For Profit,,,,,,,4,1-10,4,M&A,"Feb 15, 2000","$63,000,000",Series D,"$63,000,000",Series D,"$95,300,000","$95,300,000",,4,Was Acquired,Private,,,,
ChineseAll Digital Publishing,https://www.crunchbase.com/organization/chinese-online,"Content and Publishing, Media and Entertainment, Mobile","Beijing, Beijing, China","Chinese Online is focused on digital publishing and content for mobile phones, hand-held terminals, and the internet as well as other media.","103,355",2001,Active,,For Profit,,,,,,,,11-50,3,IPO,"Aug 1, 2010",,Venture - Series Unknown,,Venture - Series Unknown,"$6,500,000","$6,500,000",,5,,Public,"Jan 30, 2015",,,
Snapvine,https://www.crunchbase.com/organization/snapvine,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Music and Audio","Seattle, Washington, United States",Snapvine is a communications platform enabling people to leave voicemail messages online.,"104,956",2005,Active,,,,,,,,,1,11-50,2,M&A,"Sep 1, 2007","$10,000,000",Series B,"$10,000,000",Series B,"$12,000,000","$12,000,000",1,5,Was Acquired,Private,,,,
Visio Corporation,https://www.crunchbase.com/organization/visio-corporation,Software,"Seattle, Washington, United States","Visio Corporation supplied business drawing and diagramming software products. The company's primary products were Visio Standard, Visio","108,298",1989,Active,,,,,,,,,1,501-1000,3,M&A,"Mar 1, 1992","$3,500,000",Series B,"$3,500,000",Series B,"$4,420,000","$4,420,000",3,4,Was Acquired,Private,,,,
Asera,https://www.crunchbase.com/organization/asera,"Data and Analytics, Internet Services","Redwood City, California, United States","As of January 8, 2003, Asera, Inc. was acquired by SEEC, Inc. Asera, Inc. provides Internet solutions for the business-to-business chain.","110,002",1998,Active,,For Profit,,,,,,,,,5,M&A,"Aug 28, 2000","$115,000,000",Series C,"$115,000,000",Series C,"$167,400,000","$167,400,000",2,13,Was Acquired,Private,,,,
Xsigo Systems,https://www.crunchbase.com/organization/xsigo,"Data and Analytics, Hardware, Information Technology, Software","San Jose, California, United States",Xsigo offers data center I/O virtualization solutions that enable IT managers to reduce costs and optimize resource usage.,"112,706","Aug 1, 2004",Active,,For Profit,,,,,,,1,51-100,2,M&A,"Jan 1, 2011",,Venture - Series Unknown,,Venture - Series Unknown,,,,5,Was Acquired,Private,,,,
Visible Path,https://www.crunchbase.com/organization/visiblepath,"Consumer Electronics, Hardware, Internet Services, Media and Entertainment, Software","Foster City, California, United States",Visible Path is a business social network allowing users to organize and display their business contacts.,"113,310",2002,Active,,,,,,,,,,,3,M&A,"Mar 1, 2006","$17,000,000",Series B,"$17,000,000",Series B,"$28,400,000","$28,400,000",,4,Was Acquired,Private,,,,
Evant,https://www.crunchbase.com/organization/evant,"Apps, Software","San Francisco, California, United States","Evant Inc., a San Francisco-based provider of multi-channel planning and replinishment solutions","127,292",1994,Active,,For Profit,,,,,,,,11-50,2,M&A,"Jun 2, 2004","$15,000,000",Series C,"$15,000,000",Series C,"$27,000,000","$27,000,000",2,8,Was Acquired,Private,,,,
Dash Navigation,https://www.crunchbase.com/organization/dash,"Internet Services, Mobile, Navigation and Mapping","Sunnyvale, Texas, United States","Dash Navigation is the developer of Dash Express, an internet-enabled personal navigation device.","128,278",2003,Active,,For Profit,,,,,,,4,1-10,3,M&A,"Feb 1, 2008","$30,000,000",Series C,"$30,000,000",Series C,"$65,000,000","$65,000,000",1,10,Was Acquired,Private,,,,
Venustech,https://www.crunchbase.com/organization/venustech,"Information Technology, Privacy and Security","Beijing, Beijing, China","Venustech is a provider of network security products, trusted security management platforms, specialized security services, and solutions","129,705",1996,Active,,,,,,,,,,11-50,2,IPO,"Feb 1, 2008","$11,820,000",Series B,"$11,820,000",Series B,"$19,220,000","$19,220,000",,2,Made Acquisitions,Public,"Jul 2, 2010",,,
APTwater,https://www.crunchbase.com/organization/aptwater,"Natural Resources, Science and Engineering, Sustainability","Long Beach, California, United States","APTwater is a specialist in the treatment of difficult-to-treat water, wastewater and fluids by using advanced membranes and modules.","136,732",2009,Active,,,,,,,,,1,251-500,1,M&A,"Jul 31, 2009",,Venture - Series Unknown,,Venture - Series Unknown,,,,1,Was Acquired,Private,,,,
PeakStream,https://www.crunchbase.com/organization/peakstream,"Apps, Hardware, Software","Redwood City, California, United States",PeakStream provides a software application platform for the high-performance computing market.,"142,972",2005,Active,,,,,,,,,,1-10,2,M&A,"Sep 18, 2006","$17,000,000",Series B,"$17,000,000",Series B,"$22,000,000","$22,000,000",1,3,Was Acquired,Private,,,,
Quorum Systems,https://www.crunchbase.com/organization/quorum-systems,"Hardware, Manufacturing, Science and Engineering, Software","Carlsbad, California, United States",Quorum Systems is a fabless semiconductor company developing and delivering integrated single-chip CMOS radio frequency transceivers.,"145,147",2002,Active,,For Profit,,,,,,,,1-10,3,M&A,"Oct 25, 2006","$15,000,000",Series C,"$15,000,000",Series C,"$39,350,000","$39,350,000",3,4,Was Acquired,Private,,,,
LiveCapital,https://www.crunchbase.com/organization/livecapital,"Commerce and Shopping, Financial Services","San Mateo, California, United States",LiveCapital provides online small business financing.,"146,299",1996,Active,,For Profit,,,,,,,,,2,M&A,"Mar 17, 2003","$7,400,000",Series A,"$7,400,000",Series A,"$47,400,000","$47,400,000",1,10,Was Acquired,Private,,,,
Zaffire,https://www.crunchbase.com/organization/zaffire,"Commerce and Shopping, Transportation","San Jose, California, United States","Zaffire, Inc. is an innovative new optical networking company.","152,044",1998,Active,,For Profit,,,,,,,,,2,M&A,"Jun 7, 2000","$85,000,000",Series C,"$85,000,000",Series C,"$85,000,000","$85,000,000",1,16,Was Acquired,Private,,,,
