Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Chegg,https://www.crunchbase.com/organization/chegg,"Commerce and Shopping, Education","Santa Clara, California, United States",Chegg is an online textbook rental company offering services to universities and community colleges in the U.S.,431,2007,Active,,For Profit,,,,,,,3,501-1000,11,IPO,"Apr 7, 2016","$37,300,000",Post-IPO Equity,"$37,300,000",Post-IPO Equity,"$234,603,692","$289,603,692",5,15,Made Acquisitions,Public,"Nov 13, 2013",,"$1,100,000,000","$187,000,000"
Snap Inc.,https://www.crunchbase.com/organization/snapchat,"Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Venice, California, United States","Snap, formerly Snapchat Inc, is a camera company that develops Snapchat and Spectacles.",434,"May 1, 2011",Active,,For Profit,,,,,,,3,1001-5000,10,IPO,"Nov 9, 2017","$2,000,000,000",Post-IPO Equity,"$2,000,000,000",Post-IPO Equity,"$4,628,985,000","$4,648,985,000",8,29,Made Acquisitions,Public,"Mar 2, 2017",,"$33,000,000,000","$3,400,000,000"
Amazon,https://www.crunchbase.com/organization/amazon,"Administrative Services, Commerce and Shopping, Internet Services, Software","Seattle, Washington, United States","Amazon is an international e-commerce website for consumers, sellers, and content creators.",445,"Jul 5, 1994",Active,,For Profit,,,44,58,24,16,1,10001+,2,IPO,"Jul 24, 2001","$100,000,000",Undisclosed,"$100,000,000",Undisclosed,"$108,000,000","$108,000,000",1,2,Made Acquisitions,Public,"May 15, 1997",,"$438,000,000","$54,000,000"
Zynga,https://www.crunchbase.com/organization/zynga,"Gaming, Mobile","San Francisco, California, United States","Zynga makes online social and mobile games. Four years after its founding, Zynga had grown to over $1 billion in revenue and IPO'd in 2011.",458,"Apr 1, 2007",Active,,For Profit,,,,,,,4,1001-5000,9,IPO,"Feb 18, 2011","$490,000,000",Series C,"$490,000,000",Series C,"$866,550,786","$866,550,786",4,21,Made Acquisitions,Public,"Dec 16, 2011",,"$6,990,000,000","$1,000,000,000"
Nest Labs,https://www.crunchbase.com/organization/nest-labs,"Consumer Electronics, Hardware, Manufacturing, Real Estate","Palo Alto, California, United States","Nest Labs is a home automation company manufacturing sensor-driven, Wi-Fi-enabled, self-learning thermostats and smoke detectors.",495,"May 25, 2010",Active,,For Profit,,,,,,,2,1001-5000,3,M&A,"Jan 30, 2013","$80,000,000",Series C,"$80,000,000",Series C,"$80,000,000","$80,000,000",1,10,"Made Acquisitions, Was Acquired",Private,,,,
Teladoc,https://www.crunchbase.com/organization/teladoc,"Health Care, Mobile","Purchase, New York, United States","Teladoc is the nation’s first and largest telehealth platform, transforming the access, cost and quality dynamics of health care delivery.",513,2002,Active,,For Profit,,,,,,,1,501-1000,6,IPO,"Jul 12, 2016","$80,000,000",Post-IPO Debt,"$50,250,081",Series C,"$92,850,085","$172,850,085",5,10,Made Acquisitions,Public,"Jul 1, 2015",,"$703,880,574","$157,000,000"
Practice Fusion,https://www.crunchbase.com/organization/practice-fusion,"Consumer Electronics, Hardware, Health Care","San Francisco, California, United States","Practice Fusion provides a free, web-based Electronic Health Record (EMR) system and medical practice management technology to physicians.",563,"Jul 10, 2005",Active,,For Profit,,,,,,,3,101-250,13,M&A,"Nov 9, 2016",,Venture - Series Unknown,,Venture - Series Unknown,"$155,019,998","$157,519,998",8,31,"Made Acquisitions, Was Acquired",Private,,,,
Google,https://www.crunchbase.com/organization/google,"Advertising, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","Mountain View, California, United States",Google is a multinational corporation that is specialized in internet-related services and products.,567,"Sep 7, 1998",Active,,For Profit,,,55,65,23,18,2,10001+,5,IPO,"Jun 1, 2000","$10,000,000",Undisclosed,"$10,000,000",Undisclosed,"$36,100,000","$36,100,000",4,13,Made Acquisitions,Public,"Aug 19, 2004",,"$23,053,669,655","$1,666,429,420"
Bitstrips,https://www.crunchbase.com/organization/bitstrips,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Toronto, Ontario, Canada",Bitstrips gives you an entertaining and dynamic visual identity that lets you express yourself in ways that words can't capture.,666,"Oct 19, 2007",Active,,For Profit,,,,,,,5,11-50,2,M&A,"Oct 29, 2014","$8,000,000",Series B,"$8,000,000",Series B,"$11,000,000","$11,000,000",1,2,Was Acquired,Private,,,,
CoreOS,https://www.crunchbase.com/organization/coreos,"Internet Services, Platforms, Privacy and Security, Software","San Francisco, California, United States",CoreOS builds industry-leading infrastructure software to securely run application containers anywhere.,695,2013,Active,,For Profit,,,,,,,2,51-100,5,M&A,"May 9, 2016","$28,000,000",Series B,"$28,000,000",Series B,"$48,000,000","$48,000,000",2,9,"Made Acquisitions, Was Acquired",Private,,,,
