Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Grant - XOS,https://www.crunchbase.com/funding_round/xos-grant--35e88fda,XOS,https://www.crunchbase.com/organization/xos,Grant,"$224,931","Mar 29, 2006",,,No,1,
Grant - Finelite,https://www.crunchbase.com/funding_round/finelite-grant--731b51ab,Finelite,https://www.crunchbase.com/organization/finelite,Grant,"$190,408","Mar 22, 2006",,,No,1,
Grant - Heat Wise,https://www.crunchbase.com/funding_round/heat-wise-inc-grant--69ed6256,Heat Wise,https://www.crunchbase.com/organization/heat-wise-inc,Grant,"$245,692","Mar 21, 2006",,,No,1,
Grant - JO Technologies,https://www.crunchbase.com/funding_round/jo-technologies-grant--2093bdc7,JO Technologies,https://www.crunchbase.com/organization/jo-technologies,Grant,"$49,865","Mar 17, 2006",,,No,1,
Grant - Slant/Fin  ,https://www.crunchbase.com/funding_round/slant-fin-corporation-grant--633f0298,Slant/Fin  ,https://www.crunchbase.com/organization/slant-fin-corporation,Grant,"$249,644","Mar 1, 2006",,,No,1,
Grant - Manufactured Housing Research Alliance,https://www.crunchbase.com/funding_round/manufactured-housing-research-alliance-grant--6bbb8aeb,Manufactured Housing Research Alliance,https://www.crunchbase.com/organization/manufactured-housing-research-alliance,Grant,"$147,755","Feb 27, 2006",,,No,1,
Grant - Environmental Energy Technologies,https://www.crunchbase.com/funding_round/environmental-energy-technologies-grant--e404ab0f,Environmental Energy Technologies,https://www.crunchbase.com/organization/environmental-energy-technologies,Grant,"$142,971","Feb 24, 2006",,,No,1,
Grant - Consolidated Edison,https://www.crunchbase.com/funding_round/consolidated-edison-grant--fc6776e9,Consolidated Edison,https://www.crunchbase.com/organization/consolidated-edison,Grant,"$179,997","Feb 9, 2006",,,No,1,
Grant - Norbord Industries,https://www.crunchbase.com/funding_round/norbord-industries-grant--6428a9ee,Norbord Industries,https://www.crunchbase.com/organization/norbord-industries,Grant,"$245,000","Feb 6, 2006",,,No,1,
Grant - Electro Industries/GaugeTech,https://www.crunchbase.com/funding_round/electro-industries-gaugetech-grant--5a7e0d2c,Electro Industries/GaugeTech,https://www.crunchbase.com/organization/electro-industries-gaugetech,Grant,"$190,000","Jan 31, 2006",,,No,1,
Grant - EPRI Solutions,https://www.crunchbase.com/funding_round/epri-solutions-grant--ceec9715,EPRI Solutions,https://www.crunchbase.com/organization/epri-solutions,Grant,"$199,667","Nov 18, 2005",,,No,1,
Grant - International Electronic Machines,https://www.crunchbase.com/funding_round/iem-grant--fe61e28e,International Electronic Machines,https://www.crunchbase.com/organization/iem,Grant,"$449,998","Nov 7, 2005",,,No,1,
Grant - Taylor Recycling Facility,https://www.crunchbase.com/funding_round/taylor-recycling-facility-grant--78fcfd3f,Taylor Recycling Facility,https://www.crunchbase.com/organization/taylor-recycling-facility,Grant,"$200,000","Oct 26, 2005",,,No,1,
Grant - Association for Energy Affordability,https://www.crunchbase.com/funding_round/association-for-energy-affordability-grant--4af14b17,Association for Energy Affordability,https://www.crunchbase.com/organization/association-for-energy-affordability,Grant,"$270,236","Oct 24, 2005",,,No,1,
Grant - Mohawk Innovative Technology,https://www.crunchbase.com/funding_round/mohawk-innovative-technology-inc-grant--5de6f1d1,Mohawk Innovative Technology,https://www.crunchbase.com/organization/mohawk-innovative-technology-inc,Grant,"$274,123","Oct 17, 2005",,,No,1,
